"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","TRAVTIME","CAR_USE","BLUEBOOK","TIF","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","HSDropout","Bachelors","Masters","PhD","Panel_Truck","Pickup","Sports_Car","Van","SUV","Professional","Blue_Collar","Clerical","Doctor","Lawyer","Manager","Home_Maker","Student","INCOME_MOD","HOME_VAL_MOD","BLUEBOOK_MOD","OLD_CLAIM_MOD","predict_prob","predict_target"
NA,NA,1,37,2,13,51778,1,0,0,0,62,1,9360,4,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,109.957511463708,0,67.7264272892951,0,0.834667398831128,1
NA,NA,0,36,3,12,56048,0,137836,1,1,15,0,10700,6,0,2045,2,0,2,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113.795878247989,3.8084475664688,72.0353916131479,7.62364194651157,0.098066576287862,0
NA,NA,0,34,3,12,22510,0,123888,1,1,26,0,14690,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.6617253620811,3.76281012828646,83.3675517645066,0,0.0294075393316571,0
NA,NA,0,35,2,12,51778,1,0,0,0,43,0,9730,5,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,109.957511463708,0,68.9477374786358,0,0.556252402821807,1
NA,NA,2,44,2,14,45576,0,156623,1,0,27,0,1500,4,0,25276,1,0,8,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.047770178572,3.86383592228626,29.119108217154,10.1376501703328,0.76688529273796,1
NA,NA,0,48,0,9,61509,0,195438,1,1,40,1,23230,6,0,0,0,0,1,17,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,118.470560334095,3.96172219082505,102.979003679439,0,0.172851548337938,0
NA,NA,0,62,0,15,40656,0,208242,1,0,57,0,9170,4,0,42342,2,1,2,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,99.0263957671598,3.99023267709744,67.0891460172068,10.6535583971622,0.55315867508941,1
NA,NA,0,39,0,11,33727,0,0,0,0,27,0,10850,1,0,8350,1,0,2,12,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,91.3301875665441,0,72.499182467342,9.03013657115323,0.415098563821033,0
NA,NA,0,38,0,0,0,0,0,1,1,41,1,17470,10,0,3157,2,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,90.3019293179564,8.05769419481559,0.149279996675522,0
NA,NA,0,39,2,0,0,0,69369,1,0,36,0,8750,4,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.52412816210161,65.6546835548336,0,0.391201540554965,0
NA,NA,2,44,2,13,142588,0,365256,1,1,28,0,21790,6,0,0,0,0,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170.497466203023,4.25180659798673,99.985398795243,0,0.0479233358558328,0
NA,NA,0,45,0,12,32394,0,0,0,0,33,0,13770,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,89.7493190596292,0,80.9186346875736,0,0.325828502467926,0
NA,NA,0,43,1,0,0,0,70170,1,0,26,0,8350,1,0,0,0,0,3,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.52870308263864,64.2535999802389,0,0.306495083764067,0
NA,NA,0,64,0,15,31738,0,197010,1,1,23,1,14620,6,0,3994,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.9577823340963,3.96531026815743,83.1841797950633,8.29279885820037,0.43484148043348,0
NA,NA,0,60,0,9,125893,0,0,0,1,21,1,7500,9,0,7278,2,0,4,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,161.547665081705,0,61.1509548003479,8.89274876911826,0.386318514481365,0
NA,NA,2,35,4,6,154577,1,397868,0,0,27,0,20450,6,0,4645,1,0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,176.563012697307,4.29309509219037,97.1023223821467,8.44376191333035,0.54500549103772,1
NA,NA,0,52,0,11,79348,0,270032,1,0,23,0,13150,11,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,132.281490990993,4.10913037977369,79.218163871412,0,0.0691978029560606,0
NA,NA,0,56,2,14,192089,0,471701,1,1,31,1,21100,1,0,0,0,0,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,193.979832781241,4.37647395288352,98.5131513267292,0,0.136038111926577,0
NA,NA,0,55,0,15,108152,0,329756,1,0,18,0,12320,1,0,0,0,1,0,15,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,151.264481247232,4.20296502293469,76.8725940170208,0,0.123164879664954,0
NA,NA,0,26,0,8,53244,0,0,0,1,28,1,20920,3,0,6224,1,0,1,8,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,111.294884260238,0,98.1248338919702,8.73632872133291,0.474473154145896,0
NA,NA,0,52,0,8,88560,0,244028,1,1,14,0,13630,1,0,0,0,0,4,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,138.724728718626,4.06238127434531,80.5383243391634,0,0.0720693875310473,0
NA,NA,0,41,0,12,110386,0,335488,1,1,21,1,16640,1,0,0,0,0,2,14,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,152.609567099204,4.21115764855212,88.2981656498695,0,0.201805112116657,0
NA,NA,0,49,0,12,53765,0,0,0,0,5,0,12360,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,111.76513538005,0,76.9875528121516,0,0.15538062150769,0
NA,NA,0,30,2,11,26226,0,165178,1,0,68,0,23610,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,81.9051067382534,3.88712582628453,103.752184619921,0,0.0386921068566366,0
NA,NA,1,34,3,12,29431,0,143149,1,0,12,0,22560,1,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.0979028401319,3.82475904187112,101.598974164482,0,0.141483310025358,0
NA,NA,0,44,0,14,44790,0,205463,1,0,5,1,19800,4,0,37163,1,0,4,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103.266961832087,3.9841795282913,95.6671095851468,10.5230958297612,0.166279980893075,0
NA,NA,0,49,0,11,38326,0,133010,1,1,5,0,10230,4,0,0,0,0,0,17,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,96.5278611910895,3.79314046205038,70.5590406216358,0,0.0839606025496699,0
NA,NA,1,40,2,12,35260,0,141167,1,0,30,0,9740,7,0,2235,1,0,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93.1050503598964,3.81873788650084,68.9803953490192,7.71244383427499,0.580625877460753,1
NA,NA,0,26,3,9,33283,0,104323,1,1,37,1,7690,10,0,0,0,0,2,16,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.8076271201098,3.6904297924519,61.860302963521,0,0.255206375126478,0
NA,NA,0,46,0,7,26697,0,134863,1,0,43,0,15080,6,0,0,0,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,82.5388181080393,3.7990751828897,84.380679520265,0,0.515462563109504,1
NA,NA,0,50,0,7,73308,0,240645,0,1,38,0,18720,7,0,0,0,0,2,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,127.823452527896,4.05597793024191,93.2251292751669,0,0.020246899223833,0
NA,NA,0,62,0,12,22181,0,185459,0,0,24,0,17880,7,0,9873,3,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,76.1745374478916,3.93832918912115,91.272810605685,9.19766031881881,0.541957471407148,1
NA,NA,0,53,1,13,52759,0,164906,1,0,41,0,24160,9,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,110.854775924692,3.88640198870285,104.859476377664,0,0.00493435716187884,0
NA,NA,0,44,0,4,146267,0,357184,1,1,51,1,6720,4,0,0,0,0,0,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,172.388531946416,4.24108323157102,58.1322636924368,0,0.236052072550485,0
NA,NA,0,48,1,10,84629,0,308848,1,0,35,0,15060,7,0,9592,1,0,0,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,136.024086368354,4.17196985423535,84.3290702278806,9.16878894481795,0.0796034036580956,0
NA,NA,1,45,2,17,111268,0,288071,1,0,46,0,24600,1,0,28026,2,1,2,10,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,153.136364298529,4.13926706608169,105.735563559682,10.2409236102468,0.39443836856641,0
NA,NA,0,41,0,10,97700,0,0,0,0,43,0,26250,8,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,144.751924379256,0,108.947836619468,0,0.0137816188084588,0
NA,NA,0,32,3,13,30955,1,111256,0,0,9,0,7800,4,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,88.0007634763155,3.7173593788122,62.2666659018937,0,0.634346670135216,1
NA,NA,0,49,1,15,89612,0,261946,1,1,23,1,6400,10,0,0,0,0,0,23,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,139.435883140465,4.09503794308692,56.8393323578945,0,0.151947372931414,0
NA,NA,0,41,0,12,80718,0,0,0,0,29,0,26480,11,0,8623,3,0,5,8,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,133.26563713924,0,109.386868373407,9.06230429314878,0.30566025995802,0
NA,NA,1,44,2,15,46140,0,169084,1,1,29,1,10510,1,0,4276,3,0,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104.603350768991,3.89740541306425,71.4428633208774,8.36100710822691,0.742904874823928,1
NA,NA,0,47,0,12,80105,0,0,0,1,29,0,14210,6,0,0,0,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132.826465884312,0,82.1005128363483,0,0.048905749559416,0
NA,NA,2,41,2,8,51778,0,0,1,1,43,1,5850,1,0,9419,1,0,5,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109.957511463708,0,54.5329327298626,9.15059036757041,0.317445282345487,0
NA,NA,0,41,2,10,78675,1,265450,0,1,33,1,13470,11,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.794508078068,4.10119149863763,80.1010965862079,0,0.223092897518496,0
NA,NA,0,50,0,10,219024,0,0,0,1,27,1,23370,4,0,4117,2,0,4,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,205.32078156697,0,103.264647387085,8.32312288758773,0.317434913140991,0
NA,NA,0,51,0,10,55573,0,0,0,0,18,0,12160,1,0,9768,1,0,6,14,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,113.377282562468,0,76.4107351468451,9.18696938565294,0.420712495097742,0
NA,NA,0,53,0,8,61862,0,245885,1,1,33,0,11270,1,0,0,0,0,0,14,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,118.764480454325,4.06586280459703,73.7797068485947,0,0.10866875880366,0
NA,NA,0,32,3,14,21944,0,128776,1,0,34,0,7270,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75.8210403360232,3.77929982354338,60.2791838296915,0,0.548576586863669,1
NA,NA,0,48,0,14,42008,0,176219,1,0,23,0,10000,4,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.439087462871,3.91565084089428,69.8232404077172,0,0.01298880619746,0
NA,NA,0,54,0,8,90149,0,261569,1,0,17,0,15910,4,0,0,0,0,1,10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,139.797072068568,4.09437153029547,86.4908077006307,0,0.0458236665394023,0
NA,NA,0,55,0,15,75249,0,0,0,1,5,1,17020,1,0,1316,2,0,1,21,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129.27805733784,0,89.2220823906039,7.18311170174328,0.397000220159203,0
NA,NA,0,51,0,11,117016,0,0,0,0,23,0,20320,4,0,1197,2,0,6,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,156.512919485116,0,96.8172688594707,7.08840877867539,0.104699287771604,0
NA,NA,0,47,0,7,76462,0,229334,1,1,29,0,13850,6,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,130.176313358597,4.0339725105936,81.1350196235762,0,0.0521064776033559,0
NA,NA,0,44,1,11,0,0,70461,1,0,19,0,2640,4,0,2219,2,0,1,13,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.53035366672152,37.7884788719864,7.70526247486633,0.46247541171135,0
NA,NA,0,36,0,13,20891,0,134406,1,0,39,1,5100,1,0,2949,2,0,9,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74.2236566506498,3.79761827095959,51.1905565385007,7.98956044933387,0.828477283396709,1
NA,NA,0,35,2,10,17493,1,102902,0,0,52,0,19340,9,0,5658,3,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68.7321992205396,3.68471490556505,94.6360124126778,8.64100247714252,0.571102760928788,1
NA,NA,0,43,0,11,39848,0,136304,0,0,45,0,18060,8,0,0,0,0,0,15,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,98.169375201347,3.80364057808924,91.6952588631281,0,0.194859570348573,0
NA,NA,0,42,1,12,117978,1,0,0,0,17,1,28700,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,157.068771088797,0,113.522920266217,0,0.0497626098273302,0
NA,NA,0,56,0,12,62483,0,158840,1,0,18,0,20940,6,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119.279247630865,3.86997773359729,98.1680689773238,0,0.0209754419693731,0
NA,NA,0,39,0,14,73367,0,0,0,1,36,0,12740,6,0,3320,1,0,4,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,127.867987380472,0,78.0698071044887,8.10802122137675,0.237053036318757,0
NA,NA,0,32,4,15,4478,1,0,0,0,7,0,6780,4,0,7181,3,0,5,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,38.09951179114,0,58.3709671052324,8.87933317478603,0.708342579332472,1
NA,NA,0,44,1,9,5952,0,0,1,1,22,1,6500,4,0,0,0,0,0,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43.0952143779352,0,57.2470428120587,0,0.29866578163006,0
NA,NA,0,44,1,11,75046,0,244819,1,1,56,1,9000,4,0,3288,3,0,6,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129.126930877998,4.06386711569376,66.5128866941754,8.09833884618906,0.67045472469533,1
NA,NA,0,38,0,10,75432,0,0,0,0,51,0,16260,1,0,8035,3,0,0,13,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,129.414096491854,0,87.3628049661312,8.99168672593482,0.226486004252786,0
NA,NA,0,35,3,13,64872,0,187354,1,0,44,0,11490,1,0,0,0,0,3,8,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,121.232986940314,3.9428559946195,74.4402003320424,0,0.302375927508047,0
NA,NA,0,55,0,14,66964,0,0,0,1,47,0,13700,6,0,6183,3,0,3,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,122.910594950375,0,80.7287413597123,8.72972059026726,0.234796067228487,0
NA,NA,0,42,2,11,34210,0,186734,1,1,34,0,12880,6,0,1830,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.8942380506466,3.94137941682971,78.4641388789553,7.51261754467451,0.173429764394948,0
NA,NA,1,43,2,11,24124,0,157794,1,0,40,0,8140,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.9951731702148,3.86708951199589,63.5035275673511,0,0.042827534515908,0
NA,NA,0,44,0,12,39852,0,125283,1,0,37,1,7410,1,0,3704,2,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98.1736420282739,3.76757418339371,60.811566911441,8.21743853773019,0.599964712040134,1
NA,NA,0,51,0,13,65702,0,0,0,0,27,0,15820,1,0,7181,2,0,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,121.902196045253,0,86.2649126494381,8.87933317478603,0.361630365282474,0
NA,NA,0,34,1,12,68833,0,183087,1,0,35,1,21940,4,0,1494,2,0,3,9,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,124.384415673173,3.9326047411393,100.302113275799,7.30988148582479,0.344153499071045,0
NA,NA,1,40,2,6,54159,0,180764,1,1,65,0,16920,10,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112.119043932649,3.92693442871108,88.9800335907539,0,0.0355397445245548,0
NA,NA,0,37,3,17,6217,0,0,1,0,27,1,22260,10,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43.9157713838301,0,100.973892572549,0,0.481859294290269,0
NA,NA,0,58,0,14,39707,0,192089,1,1,29,1,16870,1,0,3546,1,0,6,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98.0188141088654,3.95399196108164,88.858720017901,8.17385745477362,0.626582645242315,1
NA,NA,0,50,0,10,24358,0,128210,1,1,11,0,17790,3,0,0,0,1,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79.326049043486,3.77741912419802,91.0607267507175,0,0.32072970923147,0
NA,NA,0,46,0,7,106409,0,0,0,0,42,1,24410,6,0,6948,1,0,0,18,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150.204045790786,0,105.358298016337,8.84635304331433,0.364326143391806,0
NA,NA,0,53,0,14,59797,0,178230,1,0,35,0,18070,4,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,117.031340218132,3.92067488957719,91.7186615254584,0,0.0516664021584691,0
NA,NA,0,63,2,10,52064,0,158840,1,0,16,1,11770,1,0,834,2,0,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110.220087391603,3.86997773359729,75.2710456784867,6.72743172485086,0.69650115115496,1
NA,NA,0,53,0,7,77012,0,316239,1,1,22,0,21440,1,0,8744,2,0,0,13,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,130.580939260777,4.18313367862879,99.2417980244343,9.0762373874527,0.126760971552498,0
NA,NA,0,36,0,11,17085,0,0,1,0,58,0,15840,7,0,4070,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,68.033417565605,0,86.3151712893811,8.31164394850298,0.0799879632558339,0
NA,NA,0,43,0,13,238856,0,158840,1,1,19,1,29690,11,0,0,0,0,0,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,213.173372095977,3.86997773359729,115.311680419492,0,0.0578472997400453,0
NA,NA,0,54,0,12,69625,0,271183,1,0,51,0,22340,1,0,3155,1,0,2,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125.00210749753,4.11110584271372,101.1410227154,8.05706068196577,0.15918840800024,0
NA,NA,0,39,3,16,42535,0,189139,1,1,22,1,19330,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,100.982753230145,3.94708303715301,94.6134512530498,0,0.0380088086480202,0
NA,NA,1,43,2,14,81674,0,233744,1,1,39,1,34680,1,0,0,0,0,1,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,133.94678575672,4.04266424399494,123.872944186593,0,0.155952602255111,0
NA,NA,0,51,0,13,34658,0,159187,1,1,31,0,15660,1,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,92.4133926829517,3.87093214607234,85.8616045807316,0,0.00810131570141667,0
NA,NA,0,42,0,0,0,0,0,0,0,5,0,25540,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,107.57932912184,0,0.389142023895302,0
NA,NA,0,41,0,6,86227,0,237057,0,1,28,1,19530,9,0,2948,3,0,2,17,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,137.130335548224,4.04909871327563,95.0634856116733,7.98922140881528,0.384709160328369,0
NA,NA,0,35,1,12,77126,0,242001,1,1,5,1,11510,10,0,3079,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,130.66460198066,4.05855409733586,74.4999058995214,8.03268487596762,0.146615532417069,0
NA,NA,0,35,2,0,0,0,0,1,0,32,0,4810,1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,49.8274750331529,0,0.411617051034645,0
NA,NA,1,41,3,5,30043,1,158840,0,1,22,0,16860,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,86.8686051185711,3.86997773359729,88.8344340570594,0,0.465512967288727,0
NA,NA,0,43,0,14,54932,0,225678,1,1,37,1,11290,4,0,5076,3,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,112.809169802644,4.02665371209728,73.8400372706499,8.53247581494739,0.580265140292461,1
NA,NA,0,42,0,8,94591,0,309644,0,1,21,1,17470,6,0,16121,3,1,3,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,142.739105440735,4.173183500108,90.3019293179564,9.68794007784355,0.723719502512739,1
NA,NA,1,56,2,17,51778,0,315504,1,0,32,0,28740,1,0,0,0,0,1,6,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,109.957511463708,4.18203391289527,113.595832354159,0,0.104179597110395,0
NA,NA,0,40,1,13,79715,1,0,0,0,6,0,23140,10,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,132.546065861097,0,102.794885346507,0,0.0728130977808933,0
NA,NA,0,51,0,12,40760,0,186223,0,1,24,0,11880,1,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,99.136001409949,3.94015915829296,75.5945313806698,0,0.207552597349187,0
NA,NA,0,38,0,10,28409,0,0,0,1,27,1,8140,10,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,84.7903494129203,0,63.5035275673511,0,0.0706090465365077,0
NA,NA,0,27,3,9,69794,1,0,0,0,24,0,14660,4,0,2848,1,0,3,6,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,125.133396439897,0,83.2890215757025,7.95472333449791,0.44553328803704,0
NA,NA,1,42,2,15,85408,0,274402,1,0,32,1,20170,10,0,697,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.564831457855,4.11659139395051,96.4871367822871,6.54821910276237,0.264492427892526,0
NA,NA,0,55,0,11,3865,0,0,0,0,27,0,16600,1,0,6089,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35.7466816596322,0,88.2002525310851,8.71440336070394,0.748486906634535,1
NA,NA,0,43,0,7,58112,0,0,0,1,34,0,1500,4,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115.591819831258,0,29.119108217154,0,0.0298830889697508,0
